,사업정보,,,,,,,,,,,,,,,,,예산현액,,,,,,,,,,,이월액상세,,,,선택차수편성액,재배정,예산배정,,자금배정,지출,,,,,,배정잔액(A-B),지출잔액(A-C),분야/부문,,보조금,,,,,,다음년도이월,,일상경비,,사업형태
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,원인행위액,,,지출액(C),,,,,,,,,,,,,,,,,
,회계연도,회계구분코드,회계구분,부서코드,부서명,정책사업코드,정책사업명,단위사업코드,단위사업명,세부사업코드,세부사업명,통계목,관리사업코드,관리사업명,재원구분코드,재원,사업구분,계,편성액,당초,추경,성립전,기금계획변경,간주예산,예산변경,관리사업변경,예비비,수입대체경비,이월액계,명시이월액,사고이월액,계속비이월액,,,배정액,유보액,자금배정,일반,예비비,계,일반,예비비,계,,,분야,부문,구분,법정여부,소관,국고사업명,확정내시액(국비),확정내시액(시도비),다음년도이월액,자금없는이월액,일상경비교부액,일상경비지출액,일상경비지출액
1,2026,,,,,,,,,,,,,,,,,"24,852,357,000","24,852,357,000","24,679,357,000",,,,"173,000,000",,,,,,,,,"173,000,000",,"10,683,861,000",,"6,351,940,063","7,022,463,343",,"7,022,463,343","6,249,227,393",,"6,249,227,393","14,168,496,000","18,603,129,607",,,,,,,,,,,,,
2,2026,100,일반회계,,,,,,,,,,,,,,,"24,852,357,000","24,852,357,000","24,679,357,000",,,,"173,000,000",,,,,,,,,"173,000,000",,"10,683,861,000",,"6,351,940,063","7,022,463,343",,"7,022,463,343","6,249,227,393",,"6,249,227,393","14,168,496,000","18,603,129,607",,,,,,,,,,,,,
3,2026,100,일반회계,1105034,보건행정과,,,,,,,,,,,,,"24,852,357,000","24,852,357,000","24,679,357,000",,,,"173,000,000",,,,,,,,,"173,000,000",,"10,683,861,000",,"6,351,940,063","7,022,463,343",,"7,022,463,343","6,249,227,393",,"6,249,227,393","14,168,496,000","18,603,129,607",,,,,,,,,,,,,
4,2026,100,일반회계,1105034,보건행정과,3220000200710105,건강증진,,,,,,,,,,,"1,821,537,000","1,821,537,000","1,821,537,000",,,,,,,,,,,,,,,"1,277,985,000",,"338,247,190","913,507,230",,"913,507,230","338,247,190",,"338,247,190","543,552,000","1,483,289,810",보건,보건의료,,,,,,,,,,,
5,2026,100,일반회계,1105034,보건행정과,3220000200710105,건강증진,3220000200720262,보건소 운영지원,,,,,,,,,"1,821,537,000","1,821,537,000","1,821,537,000",,,,,,,,,,,,,,,"1,277,985,000",,"338,247,190","913,507,230",,"913,507,230","338,247,190",,"338,247,190","543,552,000","1,483,289,810",보건,보건의료,,,,,,,,,,,
6,2026,100,일반회계,1105034,보건행정과,3220000200710105,건강증진,3220000200720262,보건소 운영지원,3220000200730199,보건소 기능유지 및 청사관리,,,,,,자체,"1,777,721,000","1,777,721,000","1,777,721,000",,,,,,,,,,,,,,,"1,239,314,000",,"332,756,190","878,514,230",,"878,514,230","332,756,190",,"332,756,190","538,407,000","1,444,964,810",보건,보건의료,,,,,,,,,,,계속
7,2026,100,일반회계,1105034,보건행정과,3220000200710105,건강증진,3220000200720262,보건소 운영지원,3220000200730199,보건소 기능유지 및 청사관리,201-01 사무관리비,,,,,,"946,267,000","946,267,000","946,267,000",,,,,,,,,,,,,,,"946,267,000",,"203,627,580","749,385,620",,"749,385,620","203,627,580",,"203,627,580",,"742,639,420",보건,보건의료,,,,,,,,,,,
7,2026,100,일반회계,1105034,보건행정과,3220000200710105,건강증진,3220000200720262,보건소 운영지원,3220000200730199,보건소 기능유지 및 청사관리,201-02 공공운영비,,,,,,"407,892,000","407,892,000","407,892,000",,,,,,,,,,,,,,,"135,964,000",,"81,627,850","81,627,850",,"81,627,850","81,627,850",,"81,627,850","271,928,000","326,264,150",보건,보건의료,,,,,,,,,,,
7,2026,100,일반회계,1105034,보건행정과,3220000200710105,건강증진,3220000200720262,보건소 운영지원,3220000200730199,보건소 기능유지 및 청사관리,201-04 맞춤형복지제도시행경비,,,,,,"10,588,000","10,588,000","10,588,000",,,,,,,,,,,,,,,"5,296,000",,"5,034,240","5,034,240",,"5,034,240","5,034,240",,"5,034,240","5,292,000","5,553,760",보건,보건의료,,,,,,,,,,,
7,2026,100,일반회계,1105034,보건행정과,3220000200710105,건강증진,3220000200720262,보건소 운영지원,3220000200730199,보건소 기능유지 및 청사관리,203-03 시책추진업무추진비,,,,,,"12,960,000","12,960,000","12,960,000",,,,,,,,,,,,,,,"5,400,000",,"3,240,000","3,240,000",,"3,240,000","3,240,000",,"3,240,000","7,560,000","9,720,000",보건,보건의료,,,,,,,,,,,
7,2026,100,일반회계,1105034,보건행정과,3220000200710105,건강증진,3220000200720262,보건소 운영지원,3220000200730199,보건소 기능유지 및 청사관리,204-02 특정업무경비,,,,,,"156,450,000","156,450,000","156,450,000",,,,,,,,,,,,,,,"65,191,000",,"38,439,300","38,439,300",,"38,439,300","38,439,300",,"38,439,300","91,259,000","118,010,700",보건,보건의료,,,,,,,,,,,
7,2026,100,일반회계,1105034,보건행정과,3220000200710105,건강증진,3220000200720262,보건소 운영지원,3220000200730199,보건소 기능유지 및 청사관리,401-01 시설비,,,,,,"180,764,000","180,764,000","180,764,000",,,,,,,,,,,,,,,"60,260,000",,,,,,,,,"120,504,000","180,764,000",보건,보건의료,,,,,,,,,,,
7,2026,100,일반회계,1105034,보건행정과,3220000200710105,건강증진,3220000200720262,보건소 운영지원,3220000200730199,보건소 기능유지 및 청사관리,405-01 자산및물품취득비,,,,,,"62,800,000","62,800,000","62,800,000",,,,,,,,,,,,,,,"20,936,000",,"787,220","787,220",,"787,220","787,220",,"787,220","41,864,000","62,012,780",보건,보건의료,,,,,,,,,,,
6,2026,100,일반회계,1105034,보건행정과,3220000200710105,건강증진,3220000200720262,보건소 운영지원,3220000202630050,보건소 홈페이지 유지보수,,,,,,자체,"29,886,000","29,886,000","29,886,000",,,,,,,,,,,,,,,"29,886,000",,,"29,502,000",,"29,502,000",,,,,"29,886,000",보건,보건의료,,,,,,,,,,,신규
7,2026,100,일반회계,1105034,보건행정과,3220000200710105,건강증진,3220000200720262,보건소 운영지원,3220000202630050,보건소 홈페이지 유지보수,201-02 공공운영비,,,,,,"29,886,000","29,886,000","29,886,000",,,,,,,,,,,,,,,"29,886,000",,,"29,502,000",,"29,502,000",,,,,"29,886,000",보건,보건의료,,,,,,,,,,,
6,2026,100,일반회계,1105034,보건행정과,3220000200710105,건강증진,3220000200720262,보건소 운영지원,3220000201830031,지역보건의료계획 수립,,,,,,자체,"5,950,000","5,950,000","5,950,000",,,,,,,,,,,,,,,"5,950,000",,"4,966,000","4,966,000",,"4,966,000","4,966,000",,"4,966,000",,"984,000",보건,보건의료,,,,,,,,,,,계속
7,2026,100,일반회계,1105034,보건행정과,3220000200710105,건강증진,3220000200720262,보건소 운영지원,3220000201830031,지역보건의료계획 수립,201-01 사무관리비,,,,,,"3,950,000","3,950,000","3,950,000",,,,,,,,,,,,,,,"3,950,000",,"2,966,000","2,966,000",,"2,966,000","2,966,000",,"2,966,000",,"984,000",보건,보건의료,,,,,,,,,,,
7,2026,100,일반회계,1105034,보건행정과,3220000200710105,건강증진,3220000200720262,보건소 운영지원,3220000201830031,지역보건의료계획 수립,203-03 시책추진업무추진비,,,,,,"2,000,000","2,000,000","2,000,000",,,,,,,,,,,,,,,"2,000,000",,"2,000,000","2,000,000",,"2,000,000","2,000,000",,"2,000,000",,,보건,보건의료,,,,,,,,,,,
6,2026,100,일반회계,1105034,보건행정과,3220000200710105,건강증진,3220000200720262,보건소 운영지원,3220000202030008,찾아가는 보건소,,,,,,자체,"7,980,000","7,980,000","7,980,000",,,,,,,,,,,,,,,"2,835,000",,"525,000","525,000",,"525,000","525,000",,"525,000","5,145,000","7,455,000",보건,보건의료,,,,,,,,,,,계속
7,2026,100,일반회계,1105034,보건행정과,3220000200710105,건강증진,3220000200720262,보건소 운영지원,3220000202030008,찾아가는 보건소,201-03 행사운영비,,,,,,"5,880,000","5,880,000","5,880,000",,,,,,,,,,,,,,,"1,960,000",,,,,,,,,"3,920,000","5,880,000",보건,보건의료,,,,,,,,,,,
7,2026,100,일반회계,1105034,보건행정과,3220000200710105,건강증진,3220000200720262,보건소 운영지원,3220000202030008,찾아가는 보건소,203-03 시책추진업무추진비,,,,,,"2,100,000","2,100,000","2,100,000",,,,,,,,,,,,,,,"875,000",,"525,000","525,000",,"525,000","525,000",,"525,000","1,225,000","1,575,000",보건,보건의료,,,,,,,,,,,
4,2026,100,일반회계,1105034,보건행정과,3220000200910031,건강도시 조성,,,,,,,,,,,"1,911,159,000","1,911,159,000","1,738,159,000",,,,"173,000,000",,,,,,,,,"173,000,000",,"1,723,033,000",,"644,717,263","656,617,263",,"656,617,263","644,717,263",,"644,717,263","188,126,000","1,266,441,737",보건,보건의료,,,,,,,,,,,
5,2026,100,일반회계,1105034,보건행정과,3220000200910031,건강도시 조성,3220000201120006,건강도시사업 활성화,,,,,,,,,"423,395,000","423,395,000","423,395,000",,,,,,,,,,,,,,,"300,962,000",,"116,293,223","118,293,223",,"118,293,223","116,293,223",,"116,293,223","122,433,000","307,101,777",보건,보건의료,,,,,,,,,,,
6,2026,100,일반회계,1105034,보건행정과,3220000200910031,건강도시 조성,3220000201120006,건강도시사업 활성화,3220000200730118,지역사회 중심 금연 지원 서비스,,,,,,보조,"303,633,000","303,633,000","303,633,000",,,,,,,,,,,,,,,"192,020,000",,"64,755,723","64,755,723",,"64,755,723","64,755,723",,"64,755,723","111,613,000","238,877,277",보건,보건의료,,,,,,,,,,,계속
7,2026,100,일반회계,1105034,보건행정과,3220000200910031,건강도시 조성,3220000201120006,건강도시사업 활성화,3220000200730118,지역사회 중심 금연 지원 서비스,101-04 기간제근로자등보수,,,,,,"87,276,000","87,276,000","87,276,000",,,,,,,,,,,,,,,"43,638,000",,"6,117,070","6,117,070",,"6,117,070","6,117,070",,"6,117,070","43,638,000","81,158,930",보건,보건의료,,,,,,,,,,,
7,2026,100,일반회계,1105034,보건행정과,3220000200910031,건강도시 조성,3220000201120006,건강도시사업 활성화,3220000200730118,지역사회 중심 금연 지원 서비스,201-01 사무관리비,,,,,,"79,807,000","79,807,000","79,807,000",,,,,,,,,,,,,,,"59,856,000",,"18,685,083","18,685,083",,"18,685,083","18,685,083",,"18,685,083","19,951,000","61,121,917",보건,보건의료,,,,,,,,,,,
7,2026,100,일반회계,1105034,보건행정과,3220000200910031,건강도시 조성,3220000201120006,건강도시사업 활성화,3220000200730118,지역사회 중심 금연 지원 서비스,201-02 공공운영비,,,,,,"2,100,000","2,100,000","2,100,000",,,,,,,,,,,,,,,"1,050,000",,"519,750","519,750",,"519,750","519,750",,"519,750","1,050,000","1,580,250",보건,보건의료,,,,,,,,,,,
7,2026,100,일반회계,1105034,보건행정과,3220000200910031,건강도시 조성,3220000201120006,건강도시사업 활성화,3220000200730118,지역사회 중심 금연 지원 서비스,201-03 행사운영비,,,,,,"20,700,000","20,700,000","20,700,000",,,,,,,,,,,,,,,"10,350,000",,,,,,,,,"10,350,000","20,700,000",보건,보건의료,,,,,,,,,,,
7,2026,100,일반회계,1105034,보건행정과,3220000200910031,건강도시 조성,3220000201120006,건강도시사업 활성화,3220000200730118,지역사회 중심 금연 지원 서비스,202-01 국내여비,,,,,,"26,640,000","26,640,000","26,640,000",,,,,,,,,,,,,,,"13,320,000",,"5,180,000","5,180,000",,"5,180,000","5,180,000",,"5,180,000","13,320,000","21,460,000",보건,보건의료,,,,,,,,,,,
7,2026,100,일반회계,1105034,보건행정과,3220000200910031,건강도시 조성,3220000201120006,건강도시사업 활성화,3220000200730118,지역사회 중심 금연 지원 서비스,203-03 시책추진업무추진비,,,,,,"900,000","900,000","900,000",,,,,,,,,,,,,,,"450,000",,"225,000","225,000",,"225,000","225,000",,"225,000","450,000","675,000",보건,보건의료,,,,,,,,,,,
7,2026,100,일반회계,1105034,보건행정과,3220000200910031,건강도시 조성,3220000201120006,건강도시사업 활성화,3220000200730118,지역사회 중심 금연 지원 서비스,301-11 행사실비지원금,,,,,,"1,710,000","1,710,000","1,710,000",,,,,,,,,,,,,,,"856,000",,,,,,,,,"854,000","1,710,000",보건,보건의료,,,,,,,,,,,
7,2026,100,일반회계,1105034,보건행정과,3220000200910031,건강도시 조성,3220000201120006,건강도시사업 활성화,3220000200730118,지역사회 중심 금연 지원 서비스,301-14 기타보상금,,,,,,"44,000,000","44,000,000","44,000,000",,,,,,,,,,,,,,,"22,000,000",,"4,900,000","4,900,000",,"4,900,000","4,900,000",,"4,900,000","22,000,000","39,100,000",보건,보건의료,,,,,,,,,,,
